precinct,candidate,votes,county,office,district,party
M140,Write-In,0,Jefferson,U.S Senate,NA,NA
M141,Write-In,0,Jefferson,U.S Senate,NA,NA
M142,Write-In,2,Jefferson,U.S Senate,NA,NA
M143,Write-In,0,Jefferson,U.S Senate,NA,NA
M144,Write-In,1,Jefferson,U.S Senate,NA,NA
M145,Write-In,0,Jefferson,U.S Senate,NA,NA
M146,Write-In,5,Jefferson,U.S Senate,NA,NA
M147,Write-In,0,Jefferson,U.S Senate,NA,NA
M148,Write-In,0,Jefferson,U.S Senate,NA,NA
M149,Write-In,2,Jefferson,U.S Senate,NA,NA
M150,Write-In,0,Jefferson,U.S Senate,NA,NA
M159,Write-In,0,Jefferson,U.S Senate,NA,NA
M160,Write-In,0,Jefferson,U.S Senate,NA,NA
M162,Write-In,1,Jefferson,U.S Senate,NA,NA
M163,Write-In,0,Jefferson,U.S Senate,NA,NA
M164,Write-In,0,Jefferson,U.S Senate,NA,NA
M165,Write-In,0,Jefferson,U.S Senate,NA,NA
M166,Write-In,1,Jefferson,U.S Senate,NA,NA
M167,Write-In,0,Jefferson,U.S Senate,NA,NA
M168,Write-In,0,Jefferson,U.S Senate,NA,NA
M169,Write-In,0,Jefferson,U.S Senate,NA,NA
M170,Write-In,1,Jefferson,U.S Senate,NA,NA
M171,Write-In,0,Jefferson,U.S Senate,NA,NA
M172,Write-In,0,Jefferson,U.S Senate,NA,NA
M173 - SHI,Write-In,0,Jefferson,U.S Senate,NA,NA
M174,Write-In,0,Jefferson,U.S Senate,NA,NA
M175,Write-In,0,Jefferson,U.S Senate,NA,NA
N101,Write-In,0,Jefferson,U.S Senate,NA,NA
N102,Write-In,0,Jefferson,U.S Senate,NA,NA
N103,Write-In,0,Jefferson,U.S Senate,NA,NA
N104,Write-In,1,Jefferson,U.S Senate,NA,NA
N105,Write-In,0,Jefferson,U.S Senate,NA,NA
N106,Write-In,1,Jefferson,U.S Senate,NA,NA
N107,Write-In,1,Jefferson,U.S Senate,NA,NA
N108,Write-In,1,Jefferson,U.S Senate,NA,NA
N109,Write-In,1,Jefferson,U.S Senate,NA,NA
N110,Write-In,2,Jefferson,U.S Senate,NA,NA
N111,Write-In,1,Jefferson,U.S Senate,NA,NA
N112,Write-In,0,Jefferson,U.S Senate,NA,NA
N113,Write-In,0,Jefferson,U.S Senate,NA,NA
N115,Write-In,0,Jefferson,U.S Senate,NA,NA
N117,Write-In,0,Jefferson,U.S Senate,NA,NA
N124,Write-In,0,Jefferson,U.S Senate,NA,NA
N125,Write-In,0,Jefferson,U.S Senate,NA,NA
N126 - INH,Write-In,0,Jefferson,U.S Senate,NA,NA
N127,Write-In,0,Jefferson,U.S Senate,NA,NA
N128,Write-In,0,Jefferson,U.S Senate,NA,NA
N130,Write-In,1,Jefferson,U.S Senate,NA,NA
N131,Write-In,0,Jefferson,U.S Senate,NA,NA
N134,Write-In,1,Jefferson,U.S Senate,NA,NA
N135,Write-In,0,Jefferson,U.S Senate,NA,NA
N136,Write-In,1,Jefferson,U.S Senate,NA,NA
N137,Write-In,0,Jefferson,U.S Senate,NA,NA
N138,Write-In,0,Jefferson,U.S Senate,NA,NA
N139,Write-In,0,Jefferson,U.S Senate,NA,NA
N141 - INH,Write-In,0,Jefferson,U.S Senate,NA,NA
N142 - WDH,Write-In,0,Jefferson,U.S Senate,NA,NA
N143,Write-In,1,Jefferson,U.S Senate,NA,NA
N144 - WLP,Write-In,0,Jefferson,U.S Senate,NA,NA
N145,Write-In,4,Jefferson,U.S Senate,NA,NA
N146 - STM,Write-In,1,Jefferson,U.S Senate,NA,NA
N147,Write-In,0,Jefferson,U.S Senate,NA,NA
N148,Write-In,1,Jefferson,U.S Senate,NA,NA
N149,Write-In,0,Jefferson,U.S Senate,NA,NA
N150,Write-In,0,Jefferson,U.S Senate,NA,NA
O105,Write-In,2,Jefferson,U.S Senate,NA,NA
O107,Write-In,0,Jefferson,U.S Senate,NA,NA
O109,Write-In,1,Jefferson,U.S Senate,NA,NA
O111,Write-In,1,Jefferson,U.S Senate,NA,NA
O112,Write-In,1,Jefferson,U.S Senate,NA,NA
O113,Write-In,1,Jefferson,U.S Senate,NA,NA
O114,Write-In,1,Jefferson,U.S Senate,NA,NA
O115,Write-In,0,Jefferson,U.S Senate,NA,NA
O117 - SHI,Write-In,0,Jefferson,U.S Senate,NA,NA
O119 - SHI,Write-In,0,Jefferson,U.S Senate,NA,NA
O121 - SHI,Write-In,0,Jefferson,U.S Senate,NA,NA
O123 - SHI,Write-In,0,Jefferson,U.S Senate,NA,NA
O124 - SHI,Write-In,0,Jefferson,U.S Senate,NA,NA
O126 - SHI,Write-In,2,Jefferson,U.S Senate,NA,NA
O127,Write-In,0,Jefferson,U.S Senate,NA,NA
O128,Write-In,1,Jefferson,U.S Senate,NA,NA
O129,Write-In,0,Jefferson,U.S Senate,NA,NA
O130,Write-In,0,Jefferson,U.S Senate,NA,NA
O131,Write-In,3,Jefferson,U.S Senate,NA,NA
O133,Write-In,2,Jefferson,U.S Senate,NA,NA
O134,Write-In,0,Jefferson,U.S Senate,NA,NA
O135,Write-In,0,Jefferson,U.S Senate,NA,NA
O136,Write-In,0,Jefferson,U.S Senate,NA,NA
O137,Write-In,1,Jefferson,U.S Senate,NA,NA
O138,Write-In,1,Jefferson,U.S Senate,NA,NA
O139,Write-In,0,Jefferson,U.S Senate,NA,NA
O141,Write-In,0,Jefferson,U.S Senate,NA,NA
O142,Write-In,0,Jefferson,U.S Senate,NA,NA
O143,Write-In,0,Jefferson,U.S Senate,NA,NA
Q101,Write-In,3,Jefferson,U.S Senate,NA,NA
Q103,Write-In,1,Jefferson,U.S Senate,NA,NA
Q104,Write-In,1,Jefferson,U.S Senate,NA,NA
Q105,Write-In,0,Jefferson,U.S Senate,NA,NA
Q107,Write-In,0,Jefferson,U.S Senate,NA,NA
Q109,Write-In,1,Jefferson,U.S Senate,NA,NA
Q112,Write-In,1,Jefferson,U.S Senate,NA,NA
Q113,Write-In,1,Jefferson,U.S Senate,NA,NA
Q114,Write-In,0,Jefferson,U.S Senate,NA,NA
Q115,Write-In,1,Jefferson,U.S Senate,NA,NA
Q116,Write-In,0,Jefferson,U.S Senate,NA,NA
Q117,Write-In,1,Jefferson,U.S Senate,NA,NA
Q119,Write-In,1,Jefferson,U.S Senate,NA,NA
Q122,Write-In,2,Jefferson,U.S Senate,NA,NA
Q123,Write-In,0,Jefferson,U.S Senate,NA,NA
Q124,Write-In,1,Jefferson,U.S Senate,NA,NA
Q125,Write-In,1,Jefferson,U.S Senate,NA,NA
Q126,Write-In,0,Jefferson,U.S Senate,NA,NA
Q127,Write-In,0,Jefferson,U.S Senate,NA,NA
Q131,Write-In,1,Jefferson,U.S Senate,NA,NA
Q132,Write-In,0,Jefferson,U.S Senate,NA,NA
Q134,Write-In,0,Jefferson,U.S Senate,NA,NA
Q136,Write-In,1,Jefferson,U.S Senate,NA,NA
Q137,Write-In,0,Jefferson,U.S Senate,NA,NA
Q138,Write-In,1,Jefferson,U.S Senate,NA,NA
Q139,Write-In,0,Jefferson,U.S Senate,NA,NA
S116,Write-In,0,Jefferson,U.S Senate,NA,NA
S118,Write-In,0,Jefferson,U.S Senate,NA,NA
S119,Write-In,1,Jefferson,U.S Senate,NA,NA
S125,Write-In,0,Jefferson,U.S Senate,NA,NA
S126 - PSP,Write-In,0,Jefferson,U.S Senate,NA,NA
S128,Write-In,1,Jefferson,U.S Senate,NA,NA
S129,Write-In,0,Jefferson,U.S Senate,NA,NA
S130,Write-In,1,Jefferson,U.S Senate,NA,NA
S131,Write-In,0,Jefferson,U.S Senate,NA,NA
S132,Write-In,1,Jefferson,U.S Senate,NA,NA
S135,Write-In,1,Jefferson,U.S Senate,NA,NA
S139,Write-In,1,Jefferson,U.S Senate,NA,NA
S140,Write-In,1,Jefferson,U.S Senate,NA,NA
S141,Write-In,0,Jefferson,U.S Senate,NA,NA
S142,Write-In,0,Jefferson,U.S Senate,NA,NA
S143,Write-In,0,Jefferson,U.S Senate,NA,NA
S144 - PSP,Write-In,2,Jefferson,U.S Senate,NA,NA
S146,Write-In,1,Jefferson,U.S Senate,NA,NA
S150,Write-In,0,Jefferson,U.S Senate,NA,NA
S152,Write-In,0,Jefferson,U.S Senate,NA,NA
S153,Write-In,1,Jefferson,U.S Senate,NA,NA
S156,Write-In,0,Jefferson,U.S Senate,NA,NA
S160,Write-In,1,Jefferson,U.S Senate,NA,NA
S161,Write-In,0,Jefferson,U.S Senate,NA,NA
S164,Write-In,1,Jefferson,U.S Senate,NA,NA
S165,Write-In,1,Jefferson,U.S Senate,NA,NA
S166,Write-In,0,Jefferson,U.S Senate,NA,NA
S167,Write-In,1,Jefferson,U.S Senate,NA,NA
S168,Write-In,0,Jefferson,U.S Senate,NA,NA
V101,Write-In,1,Jefferson,U.S Senate,NA,NA
V102,Write-In,4,Jefferson,U.S Senate,NA,NA
V103,Write-In,1,Jefferson,U.S Senate,NA,NA
V104,Write-In,1,Jefferson,U.S Senate,NA,NA
V105,Write-In,2,Jefferson,U.S Senate,NA,NA
V106,Write-In,2,Jefferson,U.S Senate,NA,NA
V107,Write-In,0,Jefferson,U.S Senate,NA,NA
V108,Write-In,0,Jefferson,U.S Senate,NA,NA
V109,Write-In,0,Jefferson,U.S Senate,NA,NA
V110,Write-In,0,Jefferson,U.S Senate,NA,NA
V111,Write-In,0,Jefferson,U.S Senate,NA,NA
V112,Write-In,0,Jefferson,U.S Senate,NA,NA
V113,Write-In,1,Jefferson,U.S Senate,NA,NA
V114,Write-In,1,Jefferson,U.S Senate,NA,NA
V115 - JEF,Write-In,1,Jefferson,U.S Senate,NA,NA
V116,Write-In,0,Jefferson,U.S Senate,NA,NA
V117,Write-In,0,Jefferson,U.S Senate,NA,NA
V118,Write-In,0,Jefferson,U.S Senate,NA,NA
V119,Write-In,3,Jefferson,U.S Senate,NA,NA
V120 - MID,Write-In,2,Jefferson,U.S Senate,NA,NA
V121,Write-In,0,Jefferson,U.S Senate,NA,NA
V122,Write-In,0,Jefferson,U.S Senate,NA,NA
V123,Write-In,0,Jefferson,U.S Senate,NA,NA
V124 - MID,Write-In,0,Jefferson,U.S Senate,NA,NA
V125,Write-In,0,Jefferson,U.S Senate,NA,NA
V126,Write-In,1,Jefferson,U.S Senate,NA,NA
V127,Write-In,0,Jefferson,U.S Senate,NA,NA
V128,Write-In,2,Jefferson,U.S Senate,NA,NA
V129,Write-In,1,Jefferson,U.S Senate,NA,NA
V130,Write-In,0,Jefferson,U.S Senate,NA,NA
V131,Write-In,2,Jefferson,U.S Senate,NA,NA
V132,Write-In,0,Jefferson,U.S Senate,NA,NA
PROVISIONAL 3RD,Write-In,0,Jefferson,U.S Senate,NA,NA
PROVISIONAL 4TH,Write-In,0,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD A-D,Write-In,2,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD E,Write-In,0,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD F-G,Write-In,1,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD H-J,Write-In,0,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD K-M,Write-In,2,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD NOQV,Write-In,3,Jefferson,U.S Senate,NA,NA
WALK-IN 3RD S,Write-In,1,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD A-D,Write-In,4,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD E,Write-In,0,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD F-G,Write-In,2,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD H-J,Write-In,0,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD K-M,Write-In,1,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD NOQV,Write-In,0,Jefferson,U.S Senate,NA,NA
MAIL-IN 3RD S,Write-In,1,Jefferson,U.S Senate,NA,NA
WALK-IN 4TH,Write-In,0,Jefferson,U.S Senate,NA,NA
MAIL-IN 4TH,Write-In,0,Jefferson,U.S Senate,NA,NA
A105,Donald Trump,538,Jefferson,President,NA,REP
A107,Donald Trump,281,Jefferson,President,NA,REP
A108,Donald Trump,503,Jefferson,President,NA,REP
A111,Donald Trump,403,Jefferson,President,NA,REP
A113,Donald Trump,450,Jefferson,President,NA,REP
A114,Donald Trump,397,Jefferson,President,NA,REP
A115,Donald Trump,413,Jefferson,President,NA,REP
A118,Donald Trump,232,Jefferson,President,NA,REP
A119,Donald Trump,369,Jefferson,President,NA,REP
A121,Donald Trump,417,Jefferson,President,NA,REP
A123,Donald Trump,383,Jefferson,President,NA,REP
A124,Donald Trump,482,Jefferson,President,NA,REP
A125,Donald Trump,517,Jefferson,President,NA,REP
A126,Donald Trump,460,Jefferson,President,NA,REP
A127,Donald Trump,286,Jefferson,President,NA,REP
A128,Donald Trump,354,Jefferson,President,NA,REP
A129,Donald Trump,606,Jefferson,President,NA,REP
A130,Donald Trump,298,Jefferson,President,NA,REP
A131,Donald Trump,399,Jefferson,President,NA,REP
A134,Donald Trump,322,Jefferson,President,NA,REP
A135,Donald Trump,321,Jefferson,President,NA,REP
A136,Donald Trump,209,Jefferson,President,NA,REP
A139,Donald Trump,262,Jefferson,President,NA,REP
A140,Donald Trump,531,Jefferson,President,NA,REP
A141,Donald Trump,8,Jefferson,President,NA,REP
A142,Donald Trump,130,Jefferson,President,NA,REP
A143,Donald Trump,10,Jefferson,President,NA,REP
B124,Donald Trump,376,Jefferson,President,NA,REP
B132,Donald Trump,513,Jefferson,President,NA,REP
B133,Donald Trump,554,Jefferson,President,NA,REP
B134,Donald Trump,728,Jefferson,President,NA,REP
B149,Donald Trump,346,Jefferson,President,NA,REP
B151,Donald Trump,574,Jefferson,President,NA,REP
B153,Donald Trump,37,Jefferson,President,NA,REP
B154,Donald Trump,362,Jefferson,President,NA,REP
B155,Donald Trump,250,Jefferson,President,NA,REP
B156,Donald Trump,520,Jefferson,President,NA,REP
B157,Donald Trump,685,Jefferson,President,NA,REP
B158,Donald Trump,609,Jefferson,President,NA,REP
B159,Donald Trump,826,Jefferson,President,NA,REP
B160,Donald Trump,290,Jefferson,President,NA,REP
B161,Donald Trump,65,Jefferson,President,NA,REP
B162,Donald Trump,625,Jefferson,President,NA,REP
B163,Donald Trump,453,Jefferson,President,NA,REP
B166,Donald Trump,296,Jefferson,President,NA,REP
B168,Donald Trump,501,Jefferson,President,NA,REP
B169,Donald Trump,369,Jefferson,President,NA,REP
B170,Donald Trump,318,Jefferson,President,NA,REP
B172,Donald Trump,709,Jefferson,President,NA,REP
B173,Donald Trump,546,Jefferson,President,NA,REP
B175,Donald Trump,489,Jefferson,President,NA,REP
B177,Donald Trump,572,Jefferson,President,NA,REP
B181 - JEF,Donald Trump,69,Jefferson,President,NA,REP
B182,Donald Trump,311,Jefferson,President,NA,REP
B183,Donald Trump,769,Jefferson,President,NA,REP
B184,Donald Trump,19,Jefferson,President,NA,REP
B185,Donald Trump,170,Jefferson,President,NA,REP
C101,Donald Trump,99,Jefferson,President,NA,REP
C102,Donald Trump,117,Jefferson,President,NA,REP
C103,Donald Trump,137,Jefferson,President,NA,REP
C104,Donald Trump,103,Jefferson,President,NA,REP
C105,Donald Trump,4,Jefferson,President,NA,REP
C106,Donald Trump,211,Jefferson,President,NA,REP
C108,Donald Trump,82,Jefferson,President,NA,REP
C109,Donald Trump,36,Jefferson,President,NA,REP
C110,Donald Trump,9,Jefferson,President,NA,REP
C111,Donald Trump,31,Jefferson,President,NA,REP
C113,Donald Trump,79,Jefferson,President,NA,REP
C115,Donald Trump,211,Jefferson,President,NA,REP
C122,Donald Trump,168,Jefferson,President,NA,REP
C123,Donald Trump,144,Jefferson,President,NA,REP
C124,Donald Trump,332,Jefferson,President,NA,REP
C125,Donald Trump,103,Jefferson,President,NA,REP
C126,Donald Trump,93,Jefferson,President,NA,REP
C128,Donald Trump,70,Jefferson,President,NA,REP
C129,Donald Trump,257,Jefferson,President,NA,REP
C130,Donald Trump,20,Jefferson,President,NA,REP
C131,Donald Trump,141,Jefferson,President,NA,REP
C133,Donald Trump,283,Jefferson,President,NA,REP
C134,Donald Trump,239,Jefferson,President,NA,REP
C135,Donald Trump,230,Jefferson,President,NA,REP
C136,Donald Trump,144,Jefferson,President,NA,REP
C137,Donald Trump,220,Jefferson,President,NA,REP
C138,Donald Trump,145,Jefferson,President,NA,REP
C139,Donald Trump,15,Jefferson,President,NA,REP
C141,Donald Trump,134,Jefferson,President,NA,REP
C142,Donald Trump,91,Jefferson,President,NA,REP
C143,Donald Trump,84,Jefferson,President,NA,REP
C144,Donald Trump,36,Jefferson,President,NA,REP
C145,Donald Trump,75,Jefferson,President,NA,REP
C146,Donald Trump,0,Jefferson,President,NA,REP
C147,Donald Trump,0,Jefferson,President,NA,REP
C148,Donald Trump,11,Jefferson,President,NA,REP
C149,Donald Trump,9,Jefferson,President,NA,REP
C150,Donald Trump,6,Jefferson,President,NA,REP
C151,Donald Trump,11,Jefferson,President,NA,REP
D101 - STM,Donald Trump,172,Jefferson,President,NA,REP
D104,Donald Trump,190,Jefferson,President,NA,REP
D106,Donald Trump,289,Jefferson,President,NA,REP
D108,Donald Trump,342,Jefferson,President,NA,REP
D109,Donald Trump,109,Jefferson,President,NA,REP
D110,Donald Trump,178,Jefferson,President,NA,REP
D113,Donald Trump,112,Jefferson,President,NA,REP
D114,Donald Trump,319,Jefferson,President,NA,REP
D115,Donald Trump,358,Jefferson,President,NA,REP
D116,Donald Trump,475,Jefferson,President,NA,REP
D117 - JEF,Donald Trump,317,Jefferson,President,NA,REP
D120 - JEF,Donald Trump,408,Jefferson,President,NA,REP
D121,Donald Trump,293,Jefferson,President,NA,REP
D122 - JEF,Donald Trump,377,Jefferson,President,NA,REP
D126,Donald Trump,483,Jefferson,President,NA,REP
D129,Donald Trump,160,Jefferson,President,NA,REP
D130,Donald Trump,248,Jefferson,President,NA,REP
D131,Donald Trump,160,Jefferson,President,NA,REP
D132,Donald Trump,459,Jefferson,President,NA,REP
D135,Donald Trump,213,Jefferson,President,NA,REP
D136,Donald Trump,453,Jefferson,President,NA,REP
D137 - JEF,Donald Trump,329,Jefferson,President,NA,REP
D138,Donald Trump,489,Jefferson,President,NA,REP
D139,Donald Trump,435,Jefferson,President,NA,REP
D140,Donald Trump,390,Jefferson,President,NA,REP
D141,Donald Trump,359,Jefferson,President,NA,REP
D142 - JEF,Donald Trump,397,Jefferson,President,NA,REP
D144,Donald Trump,159,Jefferson,President,NA,REP
D145,Donald Trump,162,Jefferson,President,NA,REP
E139 - STM,Donald Trump,150,Jefferson,President,NA,REP
E141 - BWV,Donald Trump,142,Jefferson,President,NA,REP
E142,Donald Trump,241,Jefferson,President,NA,REP
E143 - STM,Donald Trump,173,Jefferson,President,NA,REP
E144,Donald Trump,286,Jefferson,President,NA,REP
E145 - LYN,Donald Trump,325,Jefferson,President,NA,REP
E148,Donald Trump,393,Jefferson,President,NA,REP
E152,Donald Trump,434,Jefferson,President,NA,REP
E154,Donald Trump,326,Jefferson,President,NA,REP
E155,Donald Trump,318,Jefferson,President,NA,REP
E157 - NOR,Donald Trump,88,Jefferson,President,NA,REP
E158,Donald Trump,226,Jefferson,President,NA,REP
E159,Donald Trump,193,Jefferson,President,NA,REP
E160,Donald Trump,318,Jefferson,President,NA,REP
E161 - HUB,Donald Trump,217,Jefferson,President,NA,REP
E162,Donald Trump,106,Jefferson,President,NA,REP
E163 - HUB,Donald Trump,531,Jefferson,President,NA,REP
E164 - HUB,Donald Trump,450,Jefferson,President,NA,REP
E165,Donald Trump,356,Jefferson,President,NA,REP
E166 - JEF,Donald Trump,252,Jefferson,President,NA,REP
E167,Donald Trump,222,Jefferson,President,NA,REP
E168 - HUB,Donald Trump,225,Jefferson,President,NA,REP
E169,Donald Trump,591,Jefferson,President,NA,REP
E171,Donald Trump,192,Jefferson,President,NA,REP
E173,Donald Trump,134,Jefferson,President,NA,REP
E175 - GRD,Donald Trump,196,Jefferson,President,NA,REP
E176 - LYN,Donald Trump,121,Jefferson,President,NA,REP
E177,Donald Trump,140,Jefferson,President,NA,REP
E178,Donald Trump,352,Jefferson,President,NA,REP
E179 - JEF,Donald Trump,367,Jefferson,President,NA,REP
E180 - JEF,Donald Trump,261,Jefferson,President,NA,REP
E181,Donald Trump,324,Jefferson,President,NA,REP
E182,Donald Trump,653,Jefferson,President,NA,REP
E183,Donald Trump,260,Jefferson,President,NA,REP
E184,Donald Trump,236,Jefferson,President,NA,REP
E185 - STM,Donald Trump,88,Jefferson,President,NA,REP
F106,Donald Trump,299,Jefferson,President,NA,REP
F145,Donald Trump,535,Jefferson,President,NA,REP
F151,Donald Trump,559,Jefferson,President,NA,REP
F152,Donald Trump,542,Jefferson,President,NA,REP
F153,Donald Trump,416,Jefferson,President,NA,REP
F154,Donald Trump,364,Jefferson,President,NA,REP
F155,Donald Trump,198,Jefferson,President,NA,REP
F156,Donald Trump,477,Jefferson,President,NA,REP
F158 - MID,Donald Trump,155,Jefferson,President,NA,REP
F161 - DOH,Donald Trump,338,Jefferson,President,NA,REP
F163,Donald Trump,331,Jefferson,President,NA,REP
F164,Donald Trump,450,Jefferson,President,NA,REP
F166,Donald Trump,316,Jefferson,President,NA,REP
F167,Donald Trump,240,Jefferson,President,NA,REP
F169,Donald Trump,150,Jefferson,President,NA,REP
F170 - DOH,Donald Trump,150,Jefferson,President,NA,REP
F171,Donald Trump,370,Jefferson,President,NA,REP
F172,Donald Trump,302,Jefferson,President,NA,REP
F176,Donald Trump,339,Jefferson,President,NA,REP
F179 - LYN,Donald Trump,348,Jefferson,President,NA,REP
F180 - LYN,Donald Trump,449,Jefferson,President,NA,REP
F181,Donald Trump,385,Jefferson,President,NA,REP
F182,Donald Trump,479,Jefferson,President,NA,REP
F183,Donald Trump,220,Jefferson,President,NA,REP
F184,Donald Trump,387,Jefferson,President,NA,REP
F185,Donald Trump,253,Jefferson,President,NA,REP
F186,Donald Trump,335,Jefferson,President,NA,REP
F187,Donald Trump,253,Jefferson,President,NA,REP
G103,Donald Trump,65,Jefferson,President,NA,REP
G104,Donald Trump,80,Jefferson,President,NA,REP
G106,Donald Trump,83,Jefferson,President,NA,REP
G107,Donald Trump,101,Jefferson,President,NA,REP
G108,Donald Trump,62,Jefferson,President,NA,REP
G109,Donald Trump,128,Jefferson,President,NA,REP
G111,Donald Trump,99,Jefferson,President,NA,REP
G112,Donald Trump,186,Jefferson,President,NA,REP
G116,Donald Trump,157,Jefferson,President,NA,REP
G117,Donald Trump,224,Jefferson,President,NA,REP
G119,Donald Trump,132,Jefferson,President,NA,REP
G120,Donald Trump,140,Jefferson,President,NA,REP
G121,Donald Trump,195,Jefferson,President,NA,REP
G122,Donald Trump,102,Jefferson,President,NA,REP
G123 - SMM,Donald Trump,60,Jefferson,President,NA,REP
G124,Donald Trump,330,Jefferson,President,NA,REP
G126,Donald Trump,181,Jefferson,President,NA,REP
G129,Donald Trump,69,Jefferson,President,NA,REP
G140,Donald Trump,87,Jefferson,President,NA,REP
G141,Donald Trump,109,Jefferson,President,NA,REP
G142,Donald Trump,47,Jefferson,President,NA,REP
G143,Donald Trump,157,Jefferson,President,NA,REP
G144,Donald Trump,142,Jefferson,President,NA,REP
G145,Donald Trump,249,Jefferson,President,NA,REP
G146,Donald Trump,176,Jefferson,President,NA,REP
G147,Donald Trump,206,Jefferson,President,NA,REP
G148,Donald Trump,101,Jefferson,President,NA,REP
G149 - WEL,Donald Trump,113,Jefferson,President,NA,REP
G150,Donald Trump,110,Jefferson,President,NA,REP
G151,Donald Trump,138,Jefferson,President,NA,REP
G154,Donald Trump,233,Jefferson,President,NA,REP
G155,Donald Trump,220,Jefferson,President,NA,REP
G156,Donald Trump,339,Jefferson,President,NA,REP
G157,Donald Trump,359,Jefferson,President,NA,REP
G158,Donald Trump,343,Jefferson,President,NA,REP
G159,Donald Trump,0,Jefferson,President,NA,REP
G160,Donald Trump,214,Jefferson,President,NA,REP
G161 - SNG,Donald Trump,134,Jefferson,President,NA,REP
G162,Donald Trump,51,Jefferson,President,NA,REP
G163 - STM,Donald Trump,163,Jefferson,President,NA,REP
G164 - STM,Donald Trump,337,Jefferson,President,NA,REP
G165 - STM,Donald Trump,147,Jefferson,President,NA,REP
G166,Donald Trump,42,Jefferson,President,NA,REP
G167,Donald Trump,122,Jefferson,President,NA,REP
G168 - STM,Donald Trump,44,Jefferson,President,NA,REP
G169,Donald Trump,66,Jefferson,President,NA,REP
H102,Donald Trump,114,Jefferson,President,NA,REP
H103,Donald Trump,183,Jefferson,President,NA,REP
H105,Donald Trump,157,Jefferson,President,NA,REP
H106,Donald Trump,151,Jefferson,President,NA,REP
H109 - PKV,Donald Trump,107,Jefferson,President,NA,REP
H110,Donald Trump,202,Jefferson,President,NA,REP
H111,Donald Trump,142,Jefferson,President,NA,REP
H112,Donald Trump,242,Jefferson,President,NA,REP
H113,Donald Trump,154,Jefferson,President,NA,REP
H114,Donald Trump,2,Jefferson,President,NA,REP
H115,Donald Trump,155,Jefferson,President,NA,REP
H116,Donald Trump,241,Jefferson,President,NA,REP
H117 - APK,Donald Trump,436,Jefferson,President,NA,REP
H118,Donald Trump,256,Jefferson,President,NA,REP
H120,Donald Trump,423,Jefferson,President,NA,REP
H121,Donald Trump,129,Jefferson,President,NA,REP
H123,Donald Trump,113,Jefferson,President,NA,REP
H124,Donald Trump,33,Jefferson,President,NA,REP
H125,Donald Trump,188,Jefferson,President,NA,REP
H126 - LNV,Donald Trump,219,Jefferson,President,NA,REP
H127,Donald Trump,83,Jefferson,President,NA,REP
H130,Donald Trump,0,Jefferson,President,NA,REP
H131,Donald Trump,75,Jefferson,President,NA,REP
H132,Donald Trump,28,Jefferson,President,NA,REP
H133,Donald Trump,15,Jefferson,President,NA,REP
H138,Donald Trump,401,Jefferson,President,NA,REP
H141,Donald Trump,187,Jefferson,President,NA,REP
H144,Donald Trump,391,Jefferson,President,NA,REP
H145,Donald Trump,334,Jefferson,President,NA,REP
H146,Donald Trump,391,Jefferson,President,NA,REP
H147,Donald Trump,296,Jefferson,President,NA,REP
H148,Donald Trump,375,Jefferson,President,NA,REP
H150 - WAP,Donald Trump,2,Jefferson,President,NA,REP
H151 - WAP,Donald Trump,0,Jefferson,President,NA,REP
H152,Donald Trump,38,Jefferson,President,NA,REP
H153,Donald Trump,0,Jefferson,President,NA,REP
H154,Donald Trump,79,Jefferson,President,NA,REP
H155,Donald Trump,80,Jefferson,President,NA,REP
H156,Donald Trump,0,Jefferson,President,NA,REP
H157,Donald Trump,3,Jefferson,President,NA,REP
H158,Donald Trump,0,Jefferson,President,NA,REP
H159,Donald Trump,109,Jefferson,President,NA,REP
H160,Donald Trump,345,Jefferson,President,NA,REP
H161,Donald Trump,1,Jefferson,President,NA,REP
H162,Donald Trump,234,Jefferson,President,NA,REP
I107,Donald Trump,203,Jefferson,President,NA,REP
I109,Donald Trump,115,Jefferson,President,NA,REP
I110,Donald Trump,78,Jefferson,President,NA,REP
I111,Donald Trump,284,Jefferson,President,NA,REP
I112,Donald Trump,297,Jefferson,President,NA,REP
I115,Donald Trump,67,Jefferson,President,NA,REP
I120,Donald Trump,128,Jefferson,President,NA,REP
I122,Donald Trump,202,Jefferson,President,NA,REP
I123,Donald Trump,473,Jefferson,President,NA,REP
I124,Donald Trump,168,Jefferson,President,NA,REP
I125,Donald Trump,127,Jefferson,President,NA,REP
I126,Donald Trump,424,Jefferson,President,NA,REP
I130,Donald Trump,231,Jefferson,President,NA,REP
I133,Donald Trump,712,Jefferson,President,NA,REP
I135,Donald Trump,227,Jefferson,President,NA,REP
I138,Donald Trump,2,Jefferson,President,NA,REP
I140,Donald Trump,28,Jefferson,President,NA,REP
